lat,lng,value
39.6246643992,116.302527749,13
39.966745279,116.301682105,106
40.0814466234,116.357997387,39
40.0156779324,116.411917453,5
40.0478549793,116.410521213,46
39.9674072494,116.42201928,43
40.0644267192,116.555099497,12
39.9778402965,116.411246982,46
39.9556821025,116.433449074,54
40.0273502983,116.44527778,28
39.9946877645,116.225277321,5
39.9336138793,116.675248536,8
39.931551973,116.589054873,6
40.0709546537,116.283379093,2
39.8578067182,116.485515993,11
40.0439844463,116.32250121,24
40.1258145831,116.671242329,4
40.0529601348,116.25807607,5
39.6929147895,116.355952125,1
39.8861530578,116.5553153,3
39.7611593125,116.288532217,1
40.0034275563,116.58142274,1
39.9453218958,116.175845321,1
39.9432293544,116.196530301,1
39.9274695186,116.168153349,15
39.8616929914,116.36768838,44
39.9998373063,116.42354971,116
40.0051865448,116.41140402,173
39.9777616714,116.354894417,45
39.9772990619,116.304689263,48
39.8893538743,116.311644819,22
40.017394477,116.303707954,1
39.960607882,116.444727645,75
40.0987529177,116.584873119,23
40.0614796353,116.42229184,21
39.785731796,116.334864973,14
39.9283853979,116.378371236,42
39.9071485211,116.707977122,3
39.8619345973,116.563714622,2
40.0604600155,116.250787837,2
39.8349171558,116.282214058,10
40.0230755922,116.509905127,7
40.3669613591,116.681174629,1
40.0702103886,116.555241791,12
40.3136350339,116.639731383,9
39.6311956813,116.39930292,1
40.2332070175,116.170796103,2
39.9000605917,116.246050112,61
39.9449130769,116.356821581,68
39.9889363827,116.457290732,47
39.895294012,116.365901576,30
39.8627031913,116.55669855,3
39.9648762732,116.500823273,27
39.8463569562,116.571121983,2
39.9285765723,116.302861163,16
39.8254841594,116.210689131,3
40.0702378806,116.312022212,15
39.8500319997,116.564724909,12
40.079513217,116.57181914,1
39.8059265128,116.44357991,16
39.9782523905,116.459585162,21
39.8934325637,116.697753902,2
39.7864969581,116.515462622,8
40.0656024892,116.272868696,3
39.8915751934,116.227696661,14
39.8295674923,116.288714241,6
39.6888448775,115.982202662,1
40.0973699867,116.552057982,1
40.0467636466,116.202723078,1
40.1261803122,116.45046023,1
39.9498070927,116.456977551,183
39.8849266834,116.522063145,13
39.8734649313,116.455528255,65
39.8679401933,116.664149276,16
39.9562444341,116.281062065,90
39.9169718394,116.553379519,29
39.9938730921,116.202817982,8
39.9049830171,116.236980924,48
39.978745672,116.433209709,51
39.9673696888,116.333029921,49
40.0818790945,116.401257441,5
39.8847160312,116.607328611,14
40.0622912158,116.440285096,6
40.2248472497,116.245291321,5
39.6582573895,116.064707471,2
40.1323163374,116.429952209,3
39.8796079922,116.68533921,16
39.7923066259,116.445194129,2
40.1164192237,116.540052327,1
40.2148607057,116.673518526,3
40.1274179814,116.49216783,4
39.7252430698,116.116779238,3
40.0484607311,116.174230612,4
40.0661546337,116.114777065,1
39.8563835008,116.225936258,2
40.0642498327,116.574500139,4
40.0021278212,116.570323893,1
39.8372453796,116.358986068,1
40.1870090157,116.191860195,1
40.3373149957,116.822740072,1
39.9172006759,116.521100547,91
40.0874348377,116.301886787,27
39.9894695122,116.335621899,75
39.8674155866,116.356765501,18
40.0146876167,116.320792701,9
39.8578952143,116.443561932,46
39.9401163063,116.434635338,180
39.9726133961,116.390462113,40
39.8773983538,116.701083965,2
39.8843161336,116.476278901,80
39.9123853083,116.522895854,51
39.8743850156,116.490447647,20
40.0766051901,116.302957799,15
39.8942527099,116.653512034,21
39.6705639996,116.320913191,19
39.7793391054,116.380049681,3
40.1678957422,116.245151868,2
39.9743250868,116.215616591,1
39.823745194,116.335408013,15
40.0170242598,116.506904847,2
39.9500457743,116.256239759,10
40.3690928252,116.842546933,1
40.2342351733,116.169252446,7
39.8623374174,116.265791844,9
40.1140601387,116.342387363,2
39.89633562,116.197127355,1
40.1713977427,116.555537317,1
39.8774570036,116.232578666,5
39.9452550976,116.661280297,1
40.1216365767,116.596850339,1
40.0493755825,116.612466731,17
39.8622680355,116.401863636,43
40.1033070042,116.554089672,31
39.9666517661,116.480237895,39
39.8779660635,116.632488531,26
40.0106675586,116.353349134,40
39.9603376753,116.542439174,36
39.9401339293,116.104533126,8
39.9755965178,116.400121572,10
40.163069156,116.306740395,1
40.0521164884,116.266673388,1
39.878362829,116.356292499,35
40.1698577017,116.426931325,6
39.7728976826,116.791160271,2
39.9043780323,116.110822567,5
40.1947646401,116.665511327,1
39.902142803,116.564107865,6
